,text,names,Date,FG,3P,FGA,PTS,Result,EFG,hashtag,tokens,stems,lemmas
9299,"Moments that last a lifetime✨ 
Ambassador Young..🔥🙏🏽💯 
#ThankYou #DoYaResearch https://t.co/YZ9UUXCGSf",Trae Young,2021-02-25,3.0,0.0,0.0,6.0,L,0.0,"['ThankYou', 'DoYaResearch']",moments last lifetime ✨ ambassador young .. 🔥 🙏 💯 thankyou doyaresearch ,moment last lifetime✨ ambassador young .. 🔥🙏🏽💯 thankyou doyaresearch ,moment last lifetime ✨ ambassador young .. 🔥 🙏 💯 thankyou doyaresearch 
9300,"Another Day, Another Opportunity💯",Trae Young,2021-02-26,7.0,3.0,21.0,17.0,L ,0.4047619047619047,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9301,"Another Day, Another Opportunity💯",Trae Young,2021-02-27,3.0,1.0,0.0,4.0,L,0.0,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9302,Always Remember.💯 @TomBrady https://t.co/GbWsQCALQf,Trae Young,2021-02-28,3.0,2.0,14.0,15.0,L ,0.2857142857142857,[],always remember . 💯 ,alway remember.💯 ,always remember . 💯 
9303,"Another Day, Another Opportunity💯",Trae Young,2021-02-28,3.0,2.0,14.0,15.0,L ,0.2857142857142857,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9304,"Another Day, Another Opportunity💯",Trae Young,2021-03-01,3.0,0.0,4.0,6.0,L,0.75,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9305,"Another Day, Another Opportunity💯",Trae Young,2021-03-02,5.0,4.0,12.0,18.0,W ,0.5833333333333334,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9306,"Another Day, Another Opportunity💯",Trae Young,2021-03-03,9.0,4.0,19.0,32.0,W ,0.5789473684210527,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9307,“You don’t have to prove 💩 to nobody except ya self”💯 #WeMove https://t.co/ICCvfJDyMJ,Trae Young,2021-03-03,9.0,4.0,19.0,32.0,W ,0.5789473684210527,['WeMove'],nt prove 💩 nobody except ya self 💯 wemove ,dont prove 💩 nobodi except ya self💯 wemov ,not prove 💩 nobody except ya self 💯 wemove 
9308,Relax Ya Mind🔮,Trae Young,2021-03-04,3.0,0.0,1.0,1.0,L,3.0,[],relax ya mind 🔮 ,relax ya mind🔮 ,relax ya mind 🔮 
9309,"Another Day, Another Opportunity💯",Trae Young,2021-03-04,3.0,1.0,0.0,6.0,L,0.0,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
