,text,names,Date,FG,3P,FGA,PTS,Result,EFG,hashtag,tokens,stems,lemmas
0,It’s time!!! The journey starts tonight! DC let’s lock down “The Vault” #DCFamily #DeathRowDC https://t.co/hOWyOFYJmw,Bradley Beal,2017-10-18,6.0,1.0,17.0,25.0,W ,0.3823529411764705,"['DCFamily', 'DeathRowDC']",time ! ! ! journey starts tonight ! dc lets lock vault dcfamily deathrowdc ,time ! ! ! journey start tonight ! dc let lock vault dcfamili deathrowdc ,time ! ! ! journey start tonight ! dc let lock vault dcfamily deathrowdc 
1,Blessed to see another day!! 🙏🏽,Bradley Beal,2017-10-18,6.0,1.0,17.0,25.0,W ,0.3823529411764705,[],blessed see another day ! ! 🙏 ,bless see anoth day ! ! 🙏🏽 ,bless see another day ! ! 🙏 
2,Prayers up for Gordon Hayward !!! 🙏🏽,Bradley Beal,2017-10-18,6.0,1.0,17.0,25.0,W ,0.3823529411764705,[],prayers gordon hayward ! ! ! 🙏 ,prayer gordon hayward ! ! ! 🙏🏽 ,prayer gordon hayward ! ! ! 🙏 
3,The Vault was electric! We need that every night !! #DCfamily,Bradley Beal,2017-10-19,3.0,0.0,6.0,7.0,L,0.5,['DCfamily'],vault electric ! need every night ! ! dcfamily ,vault electr ! need everi night ! ! dcfamili ,vault electric ! need every night ! ! dcfamily 
4,Great team win tonight Wiz!!,Bradley Beal,2017-10-19,3.0,0.0,4.0,6.0,L,0.75,[],great team win tonight wiz ! ! ,great team win tonight wiz ! ! ,great team win tonight wiz ! ! 
5,Gamedayyy!!! 🙏🏽,Bradley Beal,2017-10-20,9.0,1.0,18.0,25.0,W ,0.5277777777777778,[],gamedayyy ! ! ! 🙏 ,gamedayyy ! ! ! 🙏🏽 ,gamedayyy ! ! ! 🙏 
6,"S/o my young bull @JericoleHellems for committing to NC State, they got a good one. It’s time to grind bro #wolfpack",Bradley Beal,2017-10-21,3.0,0.0,8.0,6.0,W,0.375,['wolfpack'],young bull committing nc state got good one . time grind bro wolfpack ,young bull commit nc state got good one . time grind bro wolfpack ,young bull commit nc state get good one . time grind bro wolfpack 
7,Another day to perform His will🙏🏽,Bradley Beal,2017-10-21,3.0,1.0,2.0,0.0,W,1.75,[],another day perform 🙏 ,anoth day perform will🙏🏽 ,another day perform 🙏 
8,"GREAT TEAM WIN!!! Once again The Vault was beyond electric! We love it, thank you! #DCFamily",Bradley Beal,2017-10-21,3.0,1.0,3.0,4.0,W,1.1666666666666667,['DCFamily'],great team win ! ! ! vault beyond electric ! love thank ! dcfamily ,great team win ! ! ! vault beyond electr ! love thank ! dcfamili ,great team win ! ! ! vault beyond electric ! love thank ! dcfamily 
9,😂😂 headset went flying https://t.co/SaDiTBn4py,Bradley Beal,2017-10-22,3.0,1.0,7.0,6.0,L,0.5,[],😂 😂 headset went flying ,😂😂 headset went fli ,😂 😂 headset go fly 
10,Happy Sunday! 🙏🏽,Bradley Beal,2017-10-22,3.0,0.0,2.0,2.0,L,1.5,[],happy sunday ! 🙏 ,happi sunday ! 🙏🏽 ,happy sunday ! 🙏 
11,Blessed to see another day! 🙏🏽,Bradley Beal,2017-10-23,8.0,1.0,17.0,20.0,W ,0.5,[],blessed see another day ! 🙏 ,bless see anoth day ! 🙏🏽 ,bless see another day ! 🙏 
12,Via https://t.co/8pTVWkykO3: @WashWizards grind out big win in Denver to start road trip strong. https://t.co/h399PGHOWj,Bradley Beal,2017-10-24,3.0,1.0,5.0,5.0,L,0.7,[],via grind big win denver start road trip strong . ,via grind big win denver start road trip strong . ,via grind big win denver start road trip strong . 
13,Late night showtime in Hollywood tonight! #DCFamily https://t.co/rvdgplD1Ln,Bradley Beal,2017-10-25,11.0,2.0,23.0,28.0,L ,0.5217391304347826,['DCFamily'],late night showtime hollywood tonight ! dcfamily ,late night showtim hollywood tonight ! dcfamili ,late night showtime hollywood tonight ! dcfamily 
14,Blessed to see another day!!! 🙏🏽,Bradley Beal,2017-10-25,11.0,2.0,23.0,28.0,L ,0.5217391304347826,[],blessed see another day ! ! ! 🙏 ,bless see anoth day ! ! ! 🙏🏽 ,bless see another day ! ! ! 🙏 
15,Blessed to see another day! 🙏🏽,Bradley Beal,2017-10-26,3.0,0.0,3.0,5.0,W,1.0,[],blessed see another day ! 🙏 ,bless see anoth day ! 🙏🏽 ,bless see another day ! 🙏 
16,Gameday!!!,Bradley Beal,2017-10-27,2.0,0.0,7.0,4.0,L ,0.2857142857142857,[],gameday ! ! ! ,gameday ! ! ! ,gameday ! ! ! 
17,"Happy Birthday to the 1st born of the Beal Dynasty, my big brother @BigDealBeal88 !! One of the… https://t.co/DQuGoVDzNH",Bradley Beal,2017-10-28,3.0,0.0,0.0,1.0,L,0.0,[],happy birthday st born beal dynasty big brother ! ! one … ,happi birthday st born beal dynasti big brother ! ! one the… ,happy birthday st bear beal dynasty big brother ! ! one … 
18,Blessed to see another day! 🙏🏽,Bradley Beal,2017-10-28,3.0,0.0,5.0,6.0,L,0.6,[],blessed see another day ! 🙏 ,bless see anoth day ! 🙏🏽 ,bless see another day ! 🙏 
19,"Gameday, let’s get back on track Wiz!",Bradley Beal,2017-10-29,6.0,1.0,11.0,15.0,W ,0.5909090909090909,[],gameday lets get back track wiz ! ,gameday let get back track wiz ! ,gameday let get back track wiz ! 
20,Blessed to see another day!!!,Bradley Beal,2017-10-29,6.0,1.0,11.0,15.0,W ,0.5909090909090909,[],blessed see another day ! ! ! ,bless see anoth day ! ! ! ,bless see another day ! ! ! 
21,Nice!!!! 😂😂 https://t.co/2iFVoYwQH3,Bradley Beal,2017-10-31,3.0,0.0,9.0,5.0,L,0.3333333333333333,[],nice ! ! ! ! 😂 😂 ,nice ! ! ! ! 😂😂 ,nice ! ! ! ! 😂 😂 
22,Back at The Vault tonight! Let’s go D.C! #DCFamily https://t.co/jhjGZxlmJF,Bradley Beal,2017-11-01,12.0,6.0,25.0,40.0,L ,0.6,['DCFamily'],back vault tonight ! lets go d.c ! dcfamily ,back vault tonight ! let go d.c ! dcfamili ,back vault tonight ! let go d.c ! dcfamily 
23,Lock in! Gameday #DCFamily https://t.co/1xDaf9yhU2,Bradley Beal,2017-11-03,12.0,1.0,19.0,36.0,L ,0.6578947368421053,['DCFamily'],lock ! gameday dcfamily ,lock ! gameday dcfamili ,lock ! gameday dcfamily 
24,I️ do this for YOU! Gameday #DCFamily https://t.co/N8mjElh1cJ,Bradley Beal,2017-11-05,16.0,4.0,26.0,38.0,W ,0.6923076923076923,['DCFamily'],i️ ! gameday dcfamily ,i️ ! gameday dcfamili ,i️ ! gameday dcfamily 
25,Blessed to see another day!,Bradley Beal,2017-11-06,3.0,1.0,1.0,5.0,L,3.5,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
26,“The Zone” https://t.co/o05LuJXlhd,Bradley Beal,2017-11-07,8.0,3.0,20.0,23.0,L ,0.475,[],zone ,zone ,zone 
27,Blessed to see another day!,Bradley Beal,2017-11-07,8.0,3.0,20.0,23.0,L ,0.475,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
28,Thank you Veterans!!! 🙏🏽🇺🇸,Bradley Beal,2017-11-10,3.0,0.0,3.0,5.0,L,1.0,[],thank veterans ! ! ! 🙏 🇺 🇸 ,thank veteran ! ! ! 🙏🏽🇺🇸 ,thank veteran ! ! ! 🙏 🇺 🇸 
29,Love Yourz! 😝 https://t.co/5fG5WthcRi,Bradley Beal,2017-11-13,5.0,1.0,11.0,14.0,W ,0.5,[],love yourz ! 😝 ,love yourz ! 😝 ,love yourz ! 😝 
30,Blessed to see another day!,Bradley Beal,2017-11-13,5.0,1.0,11.0,14.0,W ,0.5,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
31,🤦🏽‍♂️Damn https://t.co/bbybQzj7Dw,Bradley Beal,2017-11-14,3.0,0.0,0.0,3.0,L,0.0,[],🤦 ♂ ️damn ,🤦🏽♂️damn ,🤦 ♂ ️damn 
32,Blessed to see another day !,Bradley Beal,2017-11-14,3.0,0.0,8.0,6.0,L,0.375,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
33,Great team win!!!,Bradley Beal,2017-11-14,3.0,0.0,9.0,7.0,L,0.3333333333333333,[],great team win ! ! ! ,great team win ! ! ! ,great team win ! ! ! 
34,F O C U S  👀 https://t.co/NB1nSaaKFz,Bradley Beal,2017-11-15,6.0,1.0,19.0,26.0,W ,0.3421052631578947,[],f c u 👀 ,f c u 👀 ,f c u 👀 
35,Best in the East? We have some work to do. Thoughts on our start in my new blog. https://t.co/MMCEjeFXjv,Bradley Beal,2017-11-15,6.0,1.0,19.0,26.0,W ,0.3421052631578947,[],best east ? work . thoughts start new blog . ,best east ? work . thought start new blog . ,well east ? work . thought start new blog . 
36,Prayers up! 🙏🏽 have a blessed day everyone!,Bradley Beal,2017-11-15,6.0,1.0,19.0,26.0,W ,0.3421052631578947,[],prayers ! 🙏 blessed day everyone ! ,prayer ! 🙏🏽 bless day everyon ! ,prayer ! 🙏 bless day everyone ! 
37,Blessed to see another day!,Bradley Beal,2017-11-16,3.0,1.0,6.0,5.0,W,0.5833333333333334,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
38,"ICYMI: My latest blog, on the first segment of the season, and why I know we can be much better: https://t.co/MMCEjeFXjv https://t.co/OQj5Pb7oGs",Bradley Beal,2017-11-17,9.0,5.0,22.0,26.0,L ,0.5227272727272727,[],icymi : latest blog first segment season know much better : ,icymi : latest blog first segment season know much better : ,icymi : late blog first segment season know much well : 
39,"Blessed to see another day! Make today count. Time is short, live it, love it make memories with those around you! Have a great day! 🙏🏽",Bradley Beal,2017-11-17,9.0,5.0,22.0,26.0,L ,0.5227272727272727,[],blessed see another day ! make today count . time short live love make memories around ! great day ! 🙏 ,bless see anoth day ! make today count . time short live love make memori around ! great day ! 🙏🏽 ,bless see another day ! make today count . time short live love make memory around ! great day ! 🙏 
40,“COMMON SENSE IS NOT THAT COMMON!” https://t.co/Z5m4raZ8wW,Bradley Beal,2017-11-18,3.0,0.0,7.0,5.0,W,0.4285714285714285,[],common sense common ! ,common sens common ! ,common sense common ! 
41,Blessed to see another day !,Bradley Beal,2017-11-18,3.0,0.0,2.0,0.0,W,1.5,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
42,To God be the glory. Blessed to see another day! Happy Sunday,Bradley Beal,2017-11-19,11.0,5.0,23.0,27.0,L ,0.5869565217391305,[],god glory . blessed see another day ! happy sunday ,god glori . bless see anoth day ! happi sunday ,god glory . bless see another day ! happy sunday 
43,Muse https://t.co/42c090oi0q,Bradley Beal,2017-11-20,10.0,2.0,16.0,23.0,W ,0.6875,[],muse ,muse ,muse 
44,Gameday!!,Bradley Beal,2017-11-20,10.0,2.0,16.0,23.0,W ,0.6875,[],gameday ! ! ,gameday ! ! ,gameday ! ! 
45,Blessed to see another day!,Bradley Beal,2017-11-21,3.0,0.0,7.0,5.0,L,0.4285714285714285,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
46,Always fun living out your dreams! #Thankful https://t.co/lC2MbGtC4q,Bradley Beal,2017-11-22,7.0,3.0,22.0,22.0,L ,0.3863636363636363,['Thankful'],always fun living dreams ! thankful ,alway fun live dream ! thank ,always fun live dream ! thankful 
47,Happy Thanksgiving everyone! We all have a lot to be thankful for! Cherish your blessings and enjoy this day with loved ones! Oh and EAT UP!,Bradley Beal,2017-11-23,3.0,1.0,9.0,7.0,L,0.3888888888888889,[],happy thanksgiving everyone ! lot thankful ! cherish blessings enjoy day loved ones ! oh eat ! ,happi thanksgiv everyon ! lot thank ! cherish bless enjoy day love one ! oh eat ! ,happy thanksgive everyone ! lot thankful ! cherish blessing enjoy day love one ! oh eat ! 
48,Blessed to see another day!!!,Bradley Beal,2017-11-27,3.0,0.0,8.0,7.0,L,0.375,[],blessed see another day ! ! ! ,bless see anoth day ! ! ! ,bless see another day ! ! ! 
49,Just be consistent with the foul calls!,Bradley Beal,2017-11-27,3.0,0.0,8.0,3.0,L,0.375,[],consistent foul calls ! ,consist foul call ! ,consistent foul call ! 
50,!!!!! Gotta go up 20! https://t.co/4EyfSZTOfS,Bradley Beal,2017-11-27,3.0,0.0,6.0,5.0,L,0.5,[],! ! ! ! ! got ta go ! ,! ! ! ! ! got ta go ! ,! ! ! ! ! got to go ! 
51,Refs won that game for Duke! Wack foul calls to keep them in the game!,Bradley Beal,2017-11-27,3.0,1.0,7.0,7.0,L,0.5,[],refs game duke ! wack foul calls keep game ! ,ref game duke ! wack foul call keep game ! ,refs game duke ! wack foul call keep game ! 
52,Blessed to see another day!!,Bradley Beal,2017-11-28,2.0,0.0,11.0,8.0,W ,0.1818181818181818,[],blessed see another day ! ! ,bless see anoth day ! ! ,bless see another day ! ! 
53,Blessed to see another day!!,Bradley Beal,2017-12-04,4.0,0.0,15.0,11.0,L ,0.2666666666666666,[],blessed see another day ! ! ,bless see anoth day ! ! ,bless see another day ! ! 
54,"Don’t get too high, don’t get too low!",Bradley Beal,2017-12-05,21.0,5.0,37.0,51.0,W ,0.6351351351351351,[],nt get high nt get low ! ,dont get high dont get low ! ,not get high not get low ! 
55,Blessed to see another day!,Bradley Beal,2017-12-05,21.0,5.0,37.0,51.0,W ,0.6351351351351351,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
56,Beyond blessed! I definitely couldn’t  have done it without my guys! #51 https://t.co/HNmkPN4SIP,Bradley Beal,2017-12-06,3.0,0.0,5.0,3.0,L,0.6,['51'],beyond blessed ! definitely could nt done without guys ! ,beyond bless ! definit couldnt done without guy ! ,beyond bless ! definitely could not do without guy ! 
57,Blessed to see another day!!!,Bradley Beal,2017-12-06,3.0,1.0,1.0,1.0,L,3.5,[],blessed see another day ! ! ! ,bless see anoth day ! ! ! ,bless see another day ! ! ! 
58,Drop it! https://t.co/ZrDaWKIj0Z,Bradley Beal,2017-12-07,13.0,1.0,22.0,34.0,W ,0.6136363636363636,[],drop ! ,drop ! ,drop ! 
59,"“If you want to boast, boast only about the Lord.” #morningword",Bradley Beal,2017-12-07,13.0,1.0,22.0,34.0,W ,0.6136363636363636,['morningword'],want boast boast lord . morningword ,want boast boast lord . morningword ,want boast boast lord . morningword 
60,For all the @NBA2K fans!! We wanted to celebrate by giving out MyTEAM Moments Card #LockerCodes. Here it is! @Ronnie2K https://t.co/cWYbdHyW7g,Bradley Beal,2017-12-07,13.0,1.0,22.0,34.0,W ,0.6136363636363636,['LockerCodes'],fans ! ! wanted celebrate giving myteam moments card lockercodes . ! ,fan ! ! want celebr give myteam moment card lockercod . ! ,fan ! ! want celebrate give myteam moment card lockercode . ! 
61,Blessed to see another day!!!,Bradley Beal,2017-12-07,13.0,1.0,22.0,34.0,W ,0.6136363636363636,[],blessed see another day ! ! ! ,bless see anoth day ! ! ! ,bless see another day ! ! ! 
62,Birthday s/o to my bro @kellyoubrejr  !! Y’all show ya love! https://t.co/SP0SqrEduK,Bradley Beal,2017-12-10,3.0,1.0,7.0,0.0,L,0.5,[],birthday bro ! ! show ya love ! ,birthday bro ! ! yall show ya love ! ,birthday bro ! ! show ya love ! 
63,Don’t confuse me with all the hype! https://t.co/Aboh2xHhqm,Bradley Beal,2017-12-11,3.0,1.0,4.0,6.0,W,0.875,[],nt confuse hype ! ,dont confus hype ! ,not confuse hype ! 
64,My young bull @iamtc5 !!!! Mad at the rim bro? Lol https://t.co/EMSQkjz0x1,Bradley Beal,2017-12-11,3.0,0.0,7.0,6.0,W,0.4285714285714285,[],young bull ! ! ! ! mad rim bro ? lol ,young bull ! ! ! ! mad rim bro ? lol ,young bull ! ! ! ! mad rim bro ? lol 
65,Blessed to see another day!,Bradley Beal,2017-12-12,11.0,0.0,33.0,28.0,L ,0.3333333333333333,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
66,Blessed to see another day!,Bradley Beal,2017-12-13,6.0,3.0,14.0,18.0,W ,0.5357142857142857,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
67,Stay together! Either with us or against us! #Wiz,Bradley Beal,2017-12-13,6.0,3.0,14.0,18.0,W ,0.5357142857142857,['Wiz'],stay together ! either us us ! wiz ,stay togeth ! either us us ! wiz ,stay together ! either we we ! wiz 
68,Good to have my dawg @johnwall back !! #DCFamily https://t.co/IduVZZAgYk,Bradley Beal,2017-12-14,3.0,1.0,3.0,3.0,L,1.1666666666666667,['DCFamily'],good dawg back ! ! dcfamily ,good dawg back ! ! dcfamili ,good dawg back ! ! dcfamily 
69,Blessed to see another day!,Bradley Beal,2017-12-15,9.0,2.0,18.0,20.0,W ,0.5555555555555556,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
70,Welcome to the club my boy! https://t.co/IcXuV6anNV,Bradley Beal,2017-12-16,3.0,0.0,7.0,0.0,L,0.4285714285714285,[],welcome club boy ! ,welcom club boy ! ,welcome club boy ! 
71,"“I get dressed up like a mannequin, put on a fit and embarrass em’, it’s so embarrassing!” https://t.co/YlH7gbF4uO",Bradley Beal,2017-12-16,3.0,1.0,6.0,7.0,L,0.5833333333333334,[],get dressed like mannequin put fit embarrass em embarrassing ! ,get dress like mannequin put fit embarrass em embarrass ! ,get dress like mannequin put fit embarrass em embarrassing ! 
72,Blessed to see another day!,Bradley Beal,2017-12-16,3.0,1.0,9.0,2.0,L,0.3888888888888889,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
73,Oh yeah it’s on Boss! https://t.co/cF1gjnOf1q,Bradley Beal,2017-12-17,10.0,4.0,27.0,27.0,L ,0.4444444444444444,[],oh yeah boss ! ,oh yeah boss ! ,oh yeah boss ! 
74,Oh yeah!!! Hold that L https://t.co/39GtqM09df,Bradley Beal,2017-12-17,10.0,4.0,27.0,27.0,L ,0.4444444444444444,[],oh yeah ! ! ! hold l ,oh yeah ! ! ! hold l ,oh yeah ! ! ! hold l 
75,Blessed to see another day! Happy Sunday!,Bradley Beal,2017-12-17,10.0,4.0,27.0,27.0,L ,0.4444444444444444,[],blessed see another day ! happy sunday ! ,bless see anoth day ! happi sunday ! ,bless see another day ! happy sunday ! 
76,Stay the course! #GAMEDAY https://t.co/EoWGi3IYGA,Bradley Beal,2017-12-19,9.0,5.0,19.0,26.0,W ,0.6052631578947368,['GAMEDAY'],stay course ! gameday ,stay cours ! gameday ,stay course ! gameday 
77,Blessed to see another day!,Bradley Beal,2017-12-19,9.0,5.0,19.0,26.0,W ,0.6052631578947368,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
78,Blessed to see another day!,Bradley Beal,2017-12-19,9.0,5.0,19.0,26.0,W ,0.6052631578947368,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
79,8|24 LEGEND !!! Congrats @kobebryant https://t.co/MoLJMjOwCl,Bradley Beal,2017-12-19,9.0,5.0,19.0,26.0,W ,0.6052631578947368,[],legend ! ! ! congrats ,legend ! ! ! congrat ,legend ! ! ! congrat 
80,Blessed to see another day!,Bradley Beal,2017-12-20,3.0,0.0,2.0,4.0,W,1.5,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
81,Aggressive! #Gameday https://t.co/w4pR5jbQvr,Bradley Beal,2017-12-22,2.0,0.0,15.0,4.0,L ,0.1333333333333333,['Gameday'],aggressive ! gameday ,aggress ! gameday ,aggressive ! gameday 
82,STL my guy @williamhrkc will be having a skully and gloves giveaway today! Check out the flyer ! https://t.co/bHRrOx6i06,Bradley Beal,2017-12-22,2.0,0.0,15.0,4.0,L ,0.1333333333333333,[],stl guy skully gloves giveaway today ! check flyer ! ,stl guy skulli glove giveaway today ! check flyer ! ,stl guy skully glove giveaway today ! check flyer ! 
83,Huncho Jack !!!!,Bradley Beal,2017-12-22,2.0,0.0,15.0,4.0,L ,0.1333333333333333,[],huncho jack ! ! ! ! ,huncho jack ! ! ! ! ,huncho jack ! ! ! ! 
84,FACTS https://t.co/pcT3sa4PXj,Bradley Beal,2017-12-22,2.0,0.0,15.0,4.0,L ,0.1333333333333333,[],facts ,fact ,fact 
85,“I’m not wearing a sweater that says oops!” 😂😂 #NBAXmas https://t.co/VEqMAC27jh,Bradley Beal,2017-12-22,2.0,0.0,15.0,4.0,L ,0.1333333333333333,['NBAXmas'],wearing sweater says oops ! 😂 😂 nbaxmas ,im wear sweater say oop ! 😂😂 nbaxma ,wear sweater say oop ! 😂 😂 nbaxma 
86,"Blessed to see another day! 
Merry Christmas!!",Bradley Beal,2017-12-25,10.0,0.0,25.0,25.0,W ,0.4,[],blessed see another day ! merry christmas ! ! ,bless see anoth day ! merri christma ! ! ,bless see another day ! merry christmas ! ! 
87,"Blessed to see another day! 
Merry Christmas!!",Bradley Beal,2017-12-25,10.0,0.0,25.0,25.0,W ,0.4,[],blessed see another day ! merry christmas ! ! ,bless see anoth day ! merri christma ! ! ,bless see another day ! merry christmas ! ! 
88,"This is crazy!!! For the first time of many to come, I played against my brother @jaytatum0 !! I… https://t.co/bacwtb3HXM",Bradley Beal,2017-12-26,3.0,0.0,4.0,3.0,W,0.75,[],crazy ! ! ! first time many come played brother ! ! … ,crazi ! ! ! first time mani come play brother ! ! i… ,crazy ! ! ! first time many come play brother ! ! … 
89,"This is crazy!!! For the first time of many to come, I played against my brother @jaytatum0 !! I… https://t.co/bacwtb3HXM",Bradley Beal,2017-12-26,3.0,0.0,5.0,4.0,W,0.6,[],crazy ! ! ! first time many come played brother ! ! … ,crazi ! ! ! first time mani come play brother ! ! i… ,crazy ! ! ! first time many come play brother ! ! … 
90,That’s my dawg fa sho!!! Happy Birthday to my big brother @GotDamnBB_68 ! Have a blessed one my… https://t.co/fBVu7Wasik,Bradley Beal,2017-12-27,7.0,2.0,19.0,20.0,L ,0.4210526315789473,[],dawg fa sho ! ! ! happy birthday big brother ! blessed one … ,that dawg fa sho ! ! ! happi birthday big brother ! bless one my… ,dawg fa sho ! ! ! happy birthday big brother ! bless one … 
91,Thank you @WashWizards fans for your support! 🙏 https://t.co/9tqyBbm48v,Bradley Beal,2017-12-29,9.0,3.0,17.0,21.0,W ,0.6176470588235294,[],thank fans support ! 🙏 ,thank fan support ! 🙏 ,thank fan support ! 🙏 
92,Blessed to see another day!,Bradley Beal,2017-12-29,9.0,3.0,17.0,21.0,W ,0.6176470588235294,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
93,Oh yeahhhh?? https://t.co/tCQPP6bmn2,Bradley Beal,2017-12-30,3.0,0.0,4.0,6.0,L,0.75,[],oh yeahhhh ? ? ,oh yeahhhh ? ? ,oh yeahhhh ? ? 
94,Blessed to see another day!!,Bradley Beal,2017-12-31,16.0,7.0,29.0,39.0,W ,0.6724137931034483,[],blessed see another day ! ! ,bless see anoth day ! ! ,bless see another day ! ! 
95,Blessed to see another day!,Bradley Beal,2018-01-02,3.0,1.0,4.0,6.0,W,0.875,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
96,Happy Birthday Pops! Love you OG! Have a blessed one! #50somethin lol https://t.co/rRMmcc31WX,Bradley Beal,2018-01-03,11.0,2.0,14.0,27.0,W ,0.8571428571428571,['50somethin'],happy birthday pops ! love og ! blessed one ! somethin lol ,happi birthday pop ! love og ! bless one ! somethin lol ,happy birthday pop ! love og ! bless one ! somethin lol 
97,Blessed to see another day!!!,Bradley Beal,2018-01-03,11.0,2.0,14.0,27.0,W ,0.8571428571428571,[],blessed see another day ! ! ! ,bless see anoth day ! ! ! ,bless see another day ! ! ! 
98,Blessed to see another day!!!,Bradley Beal,2018-01-03,11.0,2.0,14.0,27.0,W ,0.8571428571428571,[],blessed see another day ! ! ! ,bless see anoth day ! ! ! ,bless see another day ! ! ! 
99,Blessed to see another day!!,Bradley Beal,2018-01-04,3.0,0.0,7.0,0.0,W,0.4285714285714285,[],blessed see another day ! ! ,bless see anoth day ! ! ,bless see another day ! ! 
100,Blue Magic https://t.co/4GpCe2rotV,Bradley Beal,2018-01-05,9.0,5.0,18.0,34.0,W ,0.6388888888888888,[],blue magic ,blue magic ,blue magic 
101,"Means a lot to have the support of Murray, Ralph and all the pandas in the world behind me for #NBAVote! https://t.co/j92ezM6zR6 #PandaPower for Bradley Beal! 😂🐼💪 https://t.co/GCDGednnXd",Bradley Beal,2018-01-05,9.0,5.0,18.0,34.0,W ,0.6388888888888888,"['NBAVote', 'PandaPower']",means lot support murray ralph pandas world behind nbavote ! pandapower bradley beal ! 😂 🐼 💪 ,mean lot support murray ralph panda world behind nbavot ! pandapow bradley beal ! 😂🐼💪 ,mean lot support murray ralph panda world behind nbavote ! pandapower bradley beal ! 😂 🐼 💪 
102,Blessed to see another day!!,Bradley Beal,2018-01-05,9.0,5.0,18.0,34.0,W ,0.6388888888888888,[],blessed see another day ! ! ,bless see anoth day ! ! ,bless see another day ! ! 
103,Control what you can control!,Bradley Beal,2018-01-05,9.0,5.0,18.0,34.0,W ,0.6388888888888888,[],control control ! ,control control ! ,control control ! 
104,Blessed to see another day!!,Bradley Beal,2018-01-05,9.0,5.0,18.0,34.0,W ,0.6388888888888888,[],blessed see another day ! ! ,bless see anoth day ! ! ,bless see another day ! ! 
105,"“Shakin these demons off, dippin my dreams in sauce!” #bluemagic https://t.co/vnBivm1A3q",Bradley Beal,2018-01-06,7.0,1.0,19.0,20.0,L ,0.3947368421052631,['bluemagic'],shakin demons dippin dreams sauce ! bluemagic ,shakin demon dippin dream sauc ! bluemag ,shakin demon dippin dream sauce ! bluemagic 
106,Blessed to see another day!,Bradley Beal,2018-01-06,7.0,1.0,19.0,20.0,L ,0.3947368421052631,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
107,Must see movie !! Check out “The Commuter” https://t.co/jCEnUDzjlJ,Bradley Beal,2018-01-07,3.0,1.0,6.0,7.0,W,0.5833333333333334,[],must see movie ! ! check commuter ,must see movi ! ! check commut ,must see movie ! ! check commuter 
108,Blessed to see another day!!,Bradley Beal,2018-01-07,3.0,0.0,1.0,1.0,W,3.0,[],blessed see another day ! ! ,bless see anoth day ! ! ,bless see another day ! ! 
109,Blessed to see another day!!,Bradley Beal,2018-01-08,3.0,0.0,3.0,0.0,L,1.0,[],blessed see another day ! ! ,bless see anoth day ! ! ,bless see another day ! ! 
110,Blessed to see another day!!,Bradley Beal,2018-01-08,3.0,1.0,6.0,4.0,L,0.5833333333333334,[],blessed see another day ! ! ,bless see anoth day ! ! ,bless see another day ! ! 
111,Blessed to see another day!,Bradley Beal,2018-01-09,3.0,0.0,7.0,0.0,L,0.4285714285714285,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
112,Blessed to see another day!,Bradley Beal,2018-01-09,3.0,0.0,3.0,7.0,L,1.0,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
113,Blessed to see another day!!!,Bradley Beal,2018-01-10,9.0,1.0,19.0,23.0,L ,0.5,[],blessed see another day ! ! ! ,bless see anoth day ! ! ! ,bless see another day ! ! ! 
114,It’s a brotherhood. We stay together! #GAMEDAY https://t.co/V694BGpNKd,Bradley Beal,2018-01-12,12.0,0.0,17.0,30.0,W ,0.7058823529411765,['GAMEDAY'],brotherhood . stay together ! gameday ,brotherhood . stay togeth ! gameday ,brotherhood . stay together ! gameday 
115,Blessed to see another day!!,Bradley Beal,2018-01-12,12.0,0.0,17.0,30.0,W ,0.7058823529411765,[],blessed see another day ! ! ,bless see anoth day ! ! ,bless see another day ! ! 
116,Blessed to see another day!!!,Bradley Beal,2018-01-13,10.0,4.0,23.0,24.0,W ,0.5217391304347826,[],blessed see another day ! ! ! ,bless see anoth day ! ! ! ,bless see another day ! ! ! 
